NAME	CPU %	MEM USAGE / LIMIT	MEM %	TIME

TBbwa
--------------------
mtbseq_container	100.48%	1.329GiB / 125.4GiB	1.06%	2025-06-12 22:28:25
mtbseq_container	100.33%	1.329GiB / 125.4GiB	1.06%	2025-06-12 22:28:31
mtbseq_container	108.74%	1.328GiB / 125.4GiB	1.06%	2025-06-12 22:28:38
mtbseq_container	287.25%	1.327GiB / 125.4GiB	1.06%	2025-06-12 22:28:45
mtbseq_container	100.31%	1.327GiB / 125.4GiB	1.06%	2025-06-12 22:28:51
mtbseq_container	99.90%	1.34GiB / 125.4GiB	1.07%	2025-06-12 22:28:58
mtbseq_container	100.26%	1.341GiB / 125.4GiB	1.07%	2025-06-12 22:29:04
mtbseq_container	100.28%	1.341GiB / 125.4GiB	1.07%	2025-06-12 22:29:11
mtbseq_container	100.26%	1.343GiB / 125.4GiB	1.07%	2025-06-12 22:29:17
mtbseq_container	100.56%	1.345GiB / 125.4GiB	1.07%	2025-06-12 22:29:24
mtbseq_container	456.51%	1.345GiB / 125.4GiB	1.07%	2025-06-12 22:29:31
mtbseq_container	100.28%	1.349GiB / 125.4GiB	1.08%	2025-06-12 22:29:37
mtbseq_container	100.00%	1.35GiB / 125.4GiB	1.08%	2025-06-12 22:29:44
mtbseq_container	123.61%	1.35GiB / 125.4GiB	1.08%	2025-06-12 22:29:50
mtbseq_container	99.97%	1.35GiB / 125.4GiB	1.08%	2025-06-12 22:29:57
mtbseq_container	100.77%	1.351GiB / 125.4GiB	1.08%	2025-06-12 22:30:03
mtbseq_container	103.86%	1.352GiB / 125.4GiB	1.08%	2025-06-12 22:30:10
mtbseq_container	100.35%	1.352GiB / 125.4GiB	1.08%	2025-06-12 22:30:17
mtbseq_container	1514.81%	1.039GiB / 125.4GiB	0.83%	2025-06-12 22:30:23
mtbseq_container	2205.50%	1.412GiB / 125.4GiB	1.13%	2025-06-12 22:30:30
mtbseq_container	2047.05%	1.45GiB / 125.4GiB	1.16%	2025-06-12 22:30:36
